Date,Value
2018-09-30,1450.0
2018-08-31,1450.0
2018-07-31,1495.0
2018-06-30,1475.0
2018-05-31,1450.0
2018-04-30,1411.0
2018-03-31,1399.0
2018-02-28,1380.0
2018-01-31,1365.0
2017-12-31,1395.0
2017-11-30,1395.0
2017-10-31,1395.0
2017-09-30,1400.0
2017-08-31,1400.0
2017-07-31,1450.0
2017-06-30,1425.0
2017-05-31,1400.0
2017-04-30,1400.0
2017-03-31,1355.0
2017-02-28,1355.0
2017-01-31,1350.0
2016-12-31,1350.0
2016-11-30,1350.0
2016-10-31,1370.0
2016-09-30,1350.0
2016-08-31,1395.0
2016-07-31,1399.0
2016-06-30,1350.0
2016-05-31,1350.0
2016-04-30,1350.0
2016-03-31,1325.0
2016-02-29,1300.0
2016-01-31,1300.0
2015-12-31,1300.0
2015-11-30,1300.0
2015-10-31,1350.0
2015-09-30,1350.0
2015-08-31,1375.0
2015-07-31,1380.0
2015-06-30,1400.0
2015-05-31,1360.0
2015-04-30,1350.0
2015-03-31,1325.0
2015-02-28,1300.0
2015-01-31,1300.0
2014-12-31,1300.0
2014-11-30,1299.0
2014-10-31,1295.0
2014-09-30,1300.0
2014-08-31,1325.0
2014-07-31,1350.0
2014-06-30,1300.0
2014-05-31,1295.0
2014-04-30,1200.0
2014-03-31,1200.0
2014-02-28,1199.0
2014-01-31,1200.0
2013-12-31,1200.0
2013-11-30,1190.0
2013-10-31,1200.0
2013-09-30,1200.0
2013-08-31,1150.0
2013-07-31,1100.0
2013-06-30,1095.0
2013-05-31,1079.5
2013-04-30,1100.0
2013-03-31,1075.0
2013-02-28,1075.0
2013-01-31,1000.0
2012-12-31,1100.0
2012-11-30,1120.0
2012-10-31,1100.0
2012-09-30,1170.0
2012-08-31,1195.0
2012-07-31,1200.0
2012-06-30,1230.0
2012-05-31,1200.0
2012-04-30,1150.0
2012-03-31,1195.0
2012-02-29,642.5
2012-01-31,665.0
2011-12-31,695.0
2011-11-30,647.0
2011-10-31,690.0
2011-09-30,747.0
